[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv0_up/StyleMod/bias` to `synthesis.layer16.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv1/weight` to `synthesis.layer17.conv.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv1/Noise/weight` to `synthesis.layer17.epilogue.apply_noise.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv1/bias` to `synthesis.layer17.epilogue.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv1/StyleMod/weight` to `synthesis.layer17.epilogue.style_mod.dense.linear.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `1024x1024/Conv1/StyleMod/bias` to `synthesis.layer17.epilogue.style_mod.dense.wscale.bias`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `ToRGB_lod0/weight` to `synthesis.output.conv.weight`.
[2019-11-12 04:13:28,596][DEBUG]   Converting `ToRGB_lod0/bias` to `synthesis.output.bias`.
[2019-11-12 04:13:28,596][INFO] Successfully converted!
[2019-11-12 04:13:28,596][INFO] Saving pytorch model to `models/pretrain/stylegan_ffhq.pth`.
[2019-11-12 04:13:28,684][INFO] Successfully saved!
[2019-11-12 04:13:28,684][INFO] Loading pytorch model from `models/pretrain/stylegan_ffhq.pth`.
[2019-11-12 04:13:28,980][INFO] Successfully loaded!
[2019-11-12 04:13:28,983][INFO] Testing conversion results.
[2019-11-12 04:13:39,243][DEBUG]   Test 000: distance 7.755629e-07.
[2019-11-12 04:13:39,359][DEBUG]   Test 001: distance 1.654238e-06.
[2019-11-12 04:13:39,474][DEBUG]   Test 002: distance 1.012943e-06.
[2019-11-12 04:13:39,591][DEBUG]   Test 003: distance 8.369572e-07.
[2019-11-12 04:13:39,708][DEBUG]   Test 004: distance 7.390718e-07.
[2019-11-12 04:13:39,823][DEBUG]   Test 005: distance 9.138416e-07.
[2019-11-12 04:13:39,937][DEBUG]   Test 006: distance 8.521274e-07.
[2019-11-12 04:13:40,053][DEBUG]   Test 007: distance 1.414828e-06.
[2019-11-12 04:13:40,168][DEBUG]   Test 008: distance 6.194679e-07.
[2019-11-12 04:13:40,282][DEBUG]   Test 009: distance 7.304523e-07.
[2019-11-12 04:13:40,282][INFO] Average distance is 9.549490e-07.
[2019-11-12 04:13:40,285][INFO] Preparing boundary.
[2019-11-12 04:13:40,286][INFO] Preparing latent codes.
[2019-11-12 04:13:40,286][INFO]   Load latent codes from `/content/output_vectors.npy`.
[2019-11-12 04:13:40,287][INFO] Editing 1 samples.
[2019-11-12 04:13:43,937][DEBUG]   Finished sample   0.
[2019-11-12 04:13:43,938][INFO] Successfully edited 1 samples.
